MPID,Name,Constituency,Region,Party,Gender,Legislature,Chamber,Session,Activity,Date,Description,Category,Status,Purpose,Organization
LWMP-02-0112,U Khin Than Nu,Mindon,Magway,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0281,U Thant Zin Tun,Det Khi Na Thi Ri,Union Region,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0152,Mi Kon Chan,Paung,Mon,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0188,U Myint Tun,Taze,Sagaing,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0190,U Maung Maung,Tigyaing,Sagaing,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
UPMP-02-0048,U U Khin Maung Myint,Kachin-9,Kachin,NLD,Male,Second Amyotha Hluttaw,Amyotha Hluttaw,First Regular Session,Oral Question,05/11/2016, ကချင်ပြည်နယ်၊ ဖားကန့်၊ ကျောက်စိမ်းနယ်မြေ၌ အတိုင်းအဆမဲ့ ကျောက်စိမ်းတူးဖော်ခြင်း၊စည်းကမ်းမဲ့ မြေစာစွန့်ပစ်ခြင်းတို့ကြောင့် သဘာဝပတ်ဝန်းကျင် ဆိုးရွားစွာ ပျက်စီးခြင်း၊ မြေစာပုံပြို၍အသက်ဆုံးရှုံးမှုများ ဖြစ်ခြင်းတို့ကြောင့် ဒေသခံများကိုယ်တိုင်က ဆန့်ကျင်တားမြစ်နေရခြင်းတို့ ဖြစ်ပွားနေရာနိုင်ငံတော် အစိုးရ အနေဖြင့် သက်ဆိုင်ရာ ကုမ္ပဏီများအားဥပဒေနှင့်အညီစနစ်တကျ အချိန်မီ တားမြစ်ပေးရန်အစီအစဉ် ရှိ/မရှိ။,Mining,Affirmative,Representation,Ministry of Natural Resources and Environmental Conservation
LWMP-02-0297,U Myint Lwin,Twantay,Yangon,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Oral Question,11/18/2016, စာပေဟောပြောပွဲများ ၊ တရားပွဲများကျင်းပနိုင်ရေး ခွင့်ပြုချက် တောင်းခံရာတွင် လွယ်ကူလျင်မြန်အဆင်ပြေမှု မရှိသော ကြိုးနီစနစ်အား ဖျက်သိမ်းပေးရန် အစီအစဉ် ရှိ/မရှိ,,NA,NA,Ministry of Home Affairs
UPMP-02-0031,U Zone Hlal Htan,Chin-4,Chin,NLD,Male,Second Amyotha Hluttaw,Amyotha Hluttaw,First Regular Session,Oral Question,05/03/2016, ဖလမ်းမြို့သို့ ၂၀၁၄-၂၀၁၅ ခုနှစ်အတွင်း မဟာဓာတ်အားလိုင်းရောက်ရှိမည်ဖြစ်ကြောင်း လျှပ်စစ်စွမ်းအား ဝန်ကြီးဌာနကဖြေကြားခဲ့ သည်ဖြစ်သော်လည်း ယခုအချိန်အထိ မဟာဓာတ်အားလိုင်း အဘယ်ကြောင့် မရရှိ သေးသည်ကိုသိလို။,Energy,Underway,Representation,Ministry of Electricity and Energy
UPMP-02-0135,U Kyaw Ni Naing,Shan-11,Shan,USDP,Male,Second Amyotha Hluttaw,Amyotha Hluttaw,First Regular Session,Oral Question,05/02/2016, မဲဆန္ဒရှင်များလွယ်ကူချောမွေ့စွာ ဆန္ဒပြုရွေးချယ်မဲပေးနိုင်ရေးအတွက် နောင်လာမည့်ရွေးကောက်ပွဲများ တွင် ဆန္ဒမဲလက်မှတ်ကတ်ပြားပေါ်၌ ရွေးကောက်ပွဲဝင် ပါတီတံဆိပ်နှင့် ကိုယ်တစ်ပိုင်းပါဓာတ်ပုံများ ပြောင်းလဲ ထည့်သွင်းပေးရန် နှင့် လွှတ်တော်ကိုယ်စားလှယ်လောင်းများ၏ ရွေးကောက်ပွဲမှတ်ပုံတင်ကြေးအား တိုးမြှင့် သတ်မှတ်ပေးနိုင်ခြင်းရှိ/မရှိ။ ,Politics,Mixed Answer,Scrutiny,Union Election Commission
LWMP-02-0278,U Phyo Zayar Thaw (or) Zayar Thaw,Za Bu Thi Ri,Union Region,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Oral Question,11/23/2016, မြန်မာနိုင်ငံအတွင်း ဟိုတယ်နှင့် တည်းခိုးခန်းများ ဖွင့်လှစ်ရန် လုပ်ငန်းလိုင်စင်များလျှောက်ထားခြင်း၊ ခွင့်ပြုခြင်းတို့နှင့် စပ်လျဉ်း၍ ဟိုတယ်နှင့် ခရီး သွားလာရေးဝန်ကြီးဌာနကသာ တာဝန်ယူဆောင်ရွက်ပေးရန် အစီအစဉ် ရှိ၊ မရှိ,,NA,NA,Ministry of Hotels and Tourism
UPMP-02-0114,U Khin Maung Latt,Rakhine-3,Rakhine,ANP,Male,Second Amyotha Hluttaw,Amyotha Hluttaw,First Regular Session,Oral Question,05/27/2016, ရသေ့တောင်မြို့နယ်၊ အုတ်ဖို (ခ) အိုးဖောက်ကျေးရွာ၌ သငေ်္ဘာဆိပ်ခံတံတား တည်ဆောက်ပေးရန် အစီအစဉ်ရှိ/မရှိ။ ,Infrasturctural Development,Affirmative,Representation,Ministry of Transportation and Information and Communications Technology
UPMP-02-0001,U Soe Moe,Ayeyawaddy-1,Ayeyawaddy,NLD,Male,Second Amyotha Hluttaw,Amyotha Hluttaw,First Regular Session,Oral Question,05/03/2016, ဧရာဝတီတိုင်းဒေသကြီး ပုသိမ်မြို့တွင်ရှိသော ငဝန်ဖြစ်ကူးကြိုးတံတား (ပုသိမ်)၏ တံတားခံနိုင်ဝန်၊ ကြံ့ခိုင် မှုတို့အား ပုံမှန်စစ်ဆေးခြင်း၊ ထိန်းသိမ်းမွမ်းမံပြုပြင်ခြင်းများ ပုံမှန်ဆောင်ရွက်ခြင်း ရှိမရှိ။,Transportation,Affirmative,Representation,Ministry of Construction
