MPID,Name,Constituency,Region,Party,Gender,Ethnicity,Religion,DoB,Previous_Occupation,Term,Parliament,Start_Date,End_Date,image
LWMP-02-0011,Mahn Nyunt Thein,Pantanaw,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,02/01/1970,တိ/ကုဆရာဝန်၊ ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0065.jpg
LWMP-02-0012,U Wai Hlaing Tun,Pathein,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,12/10/1964,Lawyer,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0436.jpg
LWMP-02-0013,U Win Htut,Pyapon,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,02/08/1979,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150819_0053.jpg
LWMP-02-0014,U Min Thaing,Bogale,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,07/17/1978,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150819_0058.jpg
LWMP-02-0015,U Khin Maung Latt,Myanaung,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,11/27/1976,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_053.jpg
LWMP-02-0016,Dr. U Soe Moe Thu,Myaungmya,Ayeyarwaddy,NLD,Male,Shan,Buddhist,06/15/1975,ဒုတိယသမ္မတ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150819_0010.jpg
LWMP-02-0017,U Sein Win,Maubin,Ayeyarwaddy,NLD,Male,Chin,Buddhist,02/03/1965,ဥက္ကဋ္ဌ၊အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်၊ကန်ပက်လက်မြို့နယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150819_0007.jpg
LWMP-02-0018,U Win Swe,Mawlamyinegyun,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,08/21/1982,Schoolteacher,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_038.jpg
LWMP-02-0019,Dr. U San Shwe Win,Yegyi,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,07/03/1961,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016, ,0
LWMP-02-0020,Dr. U Aye Kyu,Labutta,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,03/16/1942,ပြင်ပဆေးကုခန်းဖွင့်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_035.jpg
LWMP-02-0021,U Zaw Min Thein,Lemyethna,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,12/16/1978,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_050.jpg
LWMP-02-0022,U Zaw Thein,Wakema,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,03/26/1981,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_046.jpg
LWMP-02-0023,U Thein Tun,Thabaung,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,03/20/1960,အထွေထွေမန်နေဂျာ(မြန်မာ့မီးရထား)အငြိမ်းစား,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0086.jpg
LWMP-02-0024,U Khin Maung Yee,Hinthada,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,06/06/1964,ပဲခွဲစက်နှင့်သီးနှံရောင်းဝယ်ရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_044.jpg
LWMP-02-0025,U Aye Win,Ingapu,Ayeyarwaddy,NLD,Male,Kayin,Buddhist,04/08/1982,Amyothar Hluttaw MP,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_057.jpg
LWMP-02-0026,Daw Thandar,Einme,Ayeyarwaddy,NLD,Female,Palaung,Buddhist,11/13/1947,ကျန်းမာရေးသောက်ရေသန့်ဖြန့်ချီရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_043.jpg
LWMP-02-0027,U Myint Ngwe,Kyaukkyi,Bago,NLD,Male,Bamar,Buddhist,11/18/1949,ရွှေဆိုင်၊ စတိုးဆိုင်၊ သင်္ကန်းတိုက်၊ Net Game (မိသားစုလုပ်ငန်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150828_141.jpg
LWMP-02-0028,U Khin Maung Oo,Kyauktaga,Bago,NLD,Male,Bamar,Buddhist,06/28/1983,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150828_0040.jpg
LWMP-02-0029,U Htay Min Thein,Gyobingauk,Bago,NLD,Male,Bamar,Buddhist,06/28/1970,အုပ်ချုပ်မှုဒါရိုက်တာ (Happy Ltd.),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0021.jpg
LWMP-02-0030,U Hla Than,Kawa,Bago,NLD,Male,Bamar,Buddhist,11/16/1959,စပါးအရောင်းအဝယ်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150828_0067.jpg
LWMP-02-0031,U Nyan Tun,Zigon,Bago,USDP,Male,Kayan,Christian,02/20/1960,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0066.jpg
LWMP-02-0032,Dr. U Myint Thein,Nyaunglebin,Bago,NLD,Male,Bamar,Buddhist,07/19/1986,ဆေးနှင့်ဆေးပစ္စည်းရောင်းဝယ်ရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0336.jpg
LWMP-02-0033,U Khin Maung Than,Taungoo,Bago,NLD,Male,Bamar,Buddhist,05/21/1958,အုတ်၊ သဲ၊ ကျောက် ရောင်းဝယ်ရေး,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150828_120.jpg
LWMP-02-0034,U Zaw Win,Htantabin,Bago,NLD,Male,Bamar,Buddhist,05/27/1951,ဘုရားထီးတော်အမျိုးမျိုးနှင့်မှန်စီရွှေချလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150828_129.jpg
LWMP-02-0035,U Phone Myint Aung,Daik-U,Bago,NLD,Male,Shan,Buddhist,10/24/1977,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150828_0056.jpg
LWMP-02-0036,U Khin Aye,Nattalin,Bago,NLD,Male,Pao,Buddhist,04/04/1984,ကုန်သည်/ဥယျာဉ်ခြံ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0038.jpg
LWMP-02-0037,U Khin Hnin Thit,Padaung,Bago,NLD,Male,Bamar,Buddhist,05/15/1968,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150818_0142.jpg
LWMP-02-0038,Dr. Daw Khin Soe Soe Kyi,Pyay,Bago,NLD,Female,Bamar,Buddhist,10/03/1963,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150828_085.jpg
LWMP-02-0039,Daw Ni Ni Doon,Paukkhaung,Bago,NLD,Female,Mon,Buddhist,03/31/1968,Morning Pearl Co.Ltd (MD),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150828_089.jpg
LWMP-02-0040,U Aye Min Aung(or)  Min Min,Paungde,Bago,NLD,Male,Palaung,Buddhist,05/22/1976,လက်ဖက်ခြောက်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150828_100.jpg
LWMP-02-0041,Dr. Daw Shwe Pone,Bago,Bago,NLD,Female,Bamar,Buddhist,06/16/1950,Freelance Trainer on Civic Education,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0042,U Than Nyunt,Phyu,Bago,NLD,Male,Danu,Buddhist,05/09/1974,စျေးသည်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150828_138.jpg
LWMP-02-0043,Dr. U Than Aung Soe,Minhla,Bago,NLD,Male,Kayin,Christian,12/15/1953,Retired,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0003.jpg
LWMP-02-0044,U Kyaw Myo Min,Monyo,Bago,NLD,Male,Lisu,Christian,04/15/1961,ရှေ့နေအကျိုးဆောင်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0030.jpg
LWMP-02-0045,Saw Thlay,Shwegyin,Bago,NLD,Male,Shan,Buddhist,10/21/1953,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150828_0045.jpg
LWMP-02-0046,Daw Mya Kwarnyo Oo,Shwedaung,Bago,NLD,Female,Bamar,Buddhist,06/13/1976,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150828_104.jpg
LWMP-02-0047,U Kyi Moe Naing,Yedashe,Bago,NLD,Male,Kayin,Buddhist,07/21/1966,ဥယျာဉ်ခြံမြေ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0341.jpg
LWMP-02-0048,U Kyaw Min,Letpadan,Bago,NLD,Male,Zomi,Christian,12/13/1951,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0005.jpg
LWMP-02-0049,U Tin Htwe,Waw,Bago,NLD,Male,Bamar,Buddhist,11/16/1954,ဥယျာဉ်ခြံလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,0
LWMP-02-0050,U Myint Oo,Thanatpin,Bago,NLD,Male,Mon,Buddhist,02/02/1947,လယ်လုပ်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150828_0070.jpg
LWMP-02-0051,U Aung Myint,Thayarwady,Bago,NLD,Male,Rawun,Christian,11/22/1960,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0017.jpg
LWMP-02-0052,U Aung Than,Thegon,Bago,NLD,Male,Bamar,Buddhist,05/22/1955,ရွှေဆိုင်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150818_0158.jpg
LWMP-02-0053,Daw Cho Cho,Oktwin,Bago,NLD,Female,Bamar,Buddhist,05/09/1949,Trader,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0346.jpg
LWMP-02-0054,U Zaw Min,Okpho,Bago,NLD,Male,Bamar,Buddhist,03/11/1970,အလယ်တန်းပြ အငြိမ်းစား,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150828_0032.jpg
LWMP-02-0055,U San Khin,Kanpetlet,Chin,NLD,Male,Shan,Buddhist,05/08/1954,ယာဉ်မောင်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_009.jpg
LWMP-02-0056,U Kham Khant Htan,Tonzang,Chin,ZCD,Male,Pao,Buddhist,04/13/1955,Pyithu Hluttaw MP (retired),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150821_112.jpg
LWMP-02-0057,U Kyint Shin Htan,Tedim,Chin,ZCD,Male,Bamar,Buddhist,03/01/1956,ဝက်မွေးမြူရေး,Second,Pyithu Hluttaw,02/01/2016, ,0
LWMP-02-0058,Daw Ni Shwe Hlan,Thantlang,Chin,NLD,Female,Bamar,Buddhist,12/24/1976,Teaching,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_074.jpg
LWMP-02-0059,U Sein Aung,Paletwa,Chin,NLD,Male,Shan,Buddhist,02/13/1961,အငြိမ်းစား ( နိုင်ငံရေးပင်စင် ),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_029.jpg
LWMP-02-0060,Dr. Salai Re Yanval (or) Re val,Falam,Chin,NLD,Male,Bamar,Buddhist,03/26/1955,အထွေထွေရောဂါကုဆေးခန်း(ကိုယ်ပိုင်),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0061,U Nay Lynn Aung,Mindat,Chin,NLD,Male,Bamar,Buddhist,01/16/1982,ရေခဲစက်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_002.jpg
LWMP-02-0062,U Par Htan,Matupi,Chin,NLD,Male,Shan,Buddhist,11/03/1969,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_016.jpg
LWMP-02-0063,U Hne Yar Oat,Hakha,Chin,NLD,Male,Bamar,Buddhist,01/05/1983,ဆန်စက်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_072.jpg
LWMP-02-0064,U Zone Taint,Chipwi,Kachin,USDP,Male,Lachade,Christian,01/12/1954,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0130.jpg
LWMP-02-0065,U Armoesi,Khaunglanhpu,Kachin,LNDP,Male,Bamar,Buddhist,08/31/1951,ဒါရိုက်တာရွှေရာသီကုမ္ပဏီ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0075.jpg
LWMP-02-0066,U Lone Jon San Mei,Sumprabum,Kachin,NLD,Male,Bamar,Buddhist,03/15/1947,ကိုယ်ပိုင်နည်းပြပညာရေးဝန်ဆောင်မှုလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0079.jpg
LWMP-02-0067,U Larmar Lay,Tsawlaw,Kachin,LNDP,Male,Bamar,Buddhist,08/10/1970,ယက္ကန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150831_174.jpg
LWMP-02-0068,U Lynn Lynn Oo,Tanai,Kachin,NLD,Male,Bamar,Buddhist,02/12/1947,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150831_175.jpg
LWMP-02-0069,U G Phone Sarl,Nawngmun,Kachin,USDP,Male,Bamar,Buddhist,05/29/1972,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0070,U Moe Shwe,Puta-O,Kachin,NLD,Male,Rakhine,Buddhist,04/25/1945,အိမ်ဆိုင်ရောင်း ၊ လယ်လုပ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0066.jpg
LWMP-02-0071,U Tint Soe,Hpakant,Kachin,NLD,Male,Naga,Christian,04/20/1961,NGO,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150831_078.jpg
LWMP-02-0072,U Aung Thein,Bhamo,Kachin,NLD,Male,Bamar,Buddhist,10/30/1985,Politic,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0136.jpg
LWMP-02-0073,U Chin Pe Lynn,Man Si,Kachin,NLD,Male,Bamar,Buddhist,05/14/1958,မြို့နယ်စာရင်းစစ်အရာရှိ (ငြိမ်း)၊ အလုပ်သင်ရှေ့နေ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0150.jpg
LWMP-02-0074,U Nang Mon Tin,Machanbaw,Kachin,USDP,Male,Bamar,Buddhist,03/01/1948,Editor,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0069.jpg
LWMP-02-0075,U In Htone Khar Naw Sam,Myitkyina,Kachin,NLD,Male,Bamar,Buddhist,07/31/1934,ခရိုင်စာရင်းစစ်အရာရှိ(လက်ထောက်ညွှန်/မှူး)(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0076,U Win Naing,Mogaung,Kachin,NLD,Male,Bamar,Buddhist,10/30/1955,အခမ်းအနားပြင်ဆင်ရေး,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150831_076.jpg
LWMP-02-0077,Daw San San Ei,Mohnyin,Kachin,NLD,Female,Shan,Buddhist,10/04/1955,ဆန်စက်၊ ရှမ်းပြည်နယ်လွှတ်တော်ကိုယ်စားလှယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150831_074.jpg
LWMP-02-0078,U Win Aung,Momauk,Kachin,NLD,Male,Bamar,Buddhist,09/04/1979,ပညာဒါန ကျောင်းဆရာ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150831_084.jpg
LWMP-02-0079,U Zarni Min,Shwegu,Kachin,NLD,Male,Bamar,Buddhist,06/23/1951,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150831_092.jpg
LWMP-02-0080,U Lagan Zel Jone,Waingmaw,Kachin,NLD,Male,Bamar,Buddhist,09/02/1956,ပြည်ထောင်စုဝန်ကြီး စက်မှုဝန်ကြီးဌာန,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150831_180.jpg
LWMP-02-0081,U Lamar Naw Aung,Injangyang,Kachin,KDP,Male,Rakhine,Buddhist,03/16/1951,အထက်တန်းပြဆရာ(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150831_182.jpg
LWMP-02-0082,U Paw Sai,Demoso,Kayah,NLD,Male,Li Shan,Buddhist,07/27/1969,ခြံလယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0638.jpg
LWMP-02-0083,U Pelt Du,Hpruso,Kayah,NLD,Male,Shan,Buddhist,12/01/1956,ခြံလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0643.jpg
LWMP-02-0084,Nan Htwe Thu,Hpasawng,Kayah,NLD,Female,Bamar,Buddhist,06/01/1957,ပြင်ပကိုယ်ပိုင်ဆေးကုခန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0069.jpg
LWMP-02-0085,U Aye Maung,Bawlake,Kayah,USDP,Male,Bamar,Buddhist,12/02/1977,ဆန်စက်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150817_0001.jpg
LWMP-02-0086,U Than Lynn Lynn,Mese,Kayah,NLD,Male,Bamar,Buddhist,03/05/1955,အငြိမ်းစားစစ်မှုထမ်း၊ ကုမ္ပဏီအကြံပေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0079.jpg
LWMP-02-0087,Daw Wint War Tun,Shadaw,Kayah,NLD,Female,Rakhine,Buddhist,06/26/1954,Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0649.jpg
LWMP-02-0088,Dr. Daw Khin Si Thu,Loikaw,Kayah,NLD,Female,Bamar,Buddhist,02/23/1948,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0630.jpg
LWMP-02-0089,Saw Tin Win,Kyainseikgyi,Kayin,NLD,Male,Bamar,Buddhist,03/25/1956,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150821_0030.jpg
LWMP-02-0090,U Soe Htay,Kawkareik,Kayin,NLD,Male,Bamar,Buddhist,03/20/1975,"တည်းခိုခန်းလုပ်ငန်း၊ ""စိန်"" ရတနာရွှေဆိုင်(မိသားစု)လုပ်ငန်း",Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150821_0033.jpg
LWMP-02-0091,Saw Tun Mya Aung,Hpapun,Kayin,USDP,Male,Bamar,Buddhist,12/15/1948,မြို့နယ်အင်ဂျင်နီယာ(ငြိမ်း)ပြည်သူ့ဆောက်လုပ်ရေးလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150821_0040.jpg
LWMP-02-0092,Nan Than Than Lwin,Hpa-An,Kayin,NLD,Female,Bamar,Buddhist,01/30/1982,Military (retired),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150821_107.jpg
LWMP-02-0093,U Sein Bo,Myawaddy,Kayin,NLD,Male,Shan,Buddhist,02/12/1951,ဥယျာဉ်ခြံ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150821_0037.jpg
LWMP-02-0094,U Khin Cho,Hlaingbwe,Kayin,NLD,Male,Bamar,Buddhist,06/30/1978,ကော်မရှင်အဖွဲ့ဝင်၊ပြည်သူ့လွှတ်တော်ဥပဒေရေးရာနှင့်အထူးကိစ္စရပ်များ လေ့လာဆန်းစစ်သုံးသပ်ရေးကော်မရှင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0081.jpg
LWMP-02-0095,Saw Victor Khalite,Thandaunggyi,Kayin,NLD,Male,Rakhine,Buddhist,06/08/1963,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0074.jpg
